CO2,Speed
743,29.91
743,30.4
743,30.5
587,13.57
743,27.88
587,13.62
743,28.34
587,13.25
743,28.7
587,13.49
743,28.96
587,11.82
587,12.06
743,30.85
587,10.94
743,30.87
587,11.21
743,31.16
587,12.97
587,12.4
587,12.79
744,31.67
744,31.79
744,31.55
587,12.05
743,31.28
587,11.37
744,31.5
744,31.54
587,11.97
744,31.75
576,30.67
576,30.55
576,30.39
740,29.74
576,30.4
740,29.38
576,30.24
576,30.21
755,30.54
750,30.27
747,30.21
745,29.83
576,30.68
755,30.93
576,30.74
755,30.89
576,30.69
755,30.56
755,30.88
587,13.78
744,31.1
587,13.52
744,30.88
587,13.18
744,30.85
587,13.61
744,30.81
587,12.84
587,12.91
587,13.17
587,12.92
744,30.62
744,30.65
587,12.14
744,30.94
587,12.58
744,30.9
744,31.11
744,30.82
578,29.24
577,29.37
577,29.62
576,29.83
755,30.72
755,31.02
578,29.3
755,31
578,29.31
755,30.63
755,30.55
755,30.57
755,30.5
576,30.04
576,30.07
755,30.29
576,29.94
755,30.28
576,30.12
755,30.38
552,14.76
552,14.33
551,4.64
552,16.5
551,2.27
552,16.21
552,16.06
569,27.69
569,27.66
569,27.55
569,27.65
569,27.64
569,27.35
569,27.51
569,27.59
569,27.33
569,27.4
552,16.28
552,17.01
552,16.1
552,12.9
551,0.56
552,14.11
553,13.34
553,13.37
553,12.97
552,13.19
569,27.02
569,26.93
569,27.23
569,27.06
569,27.85
569,27.98
569,27.63
569,27.38
569,27.98
569,27.9
553,14.26
553,13.62
553,13.4
550,14.37
550,14.29
550,14.51
551,14.14
550,14.31
551,14.19
551,14.02
551,13.34
551,13.88
551,12.62
552,4.84
552,4.55
551,11.43
551,11.98
551,10.51
551,11.04
552,8.01
551,9.55
551,7.82
551,6.13
552,15.02
552,13.52
552,12.01
551,4.95
588,25.14
588,25.44
588,24.76
588,24.68
588,24.22
588,24.54
588,23.42
588,23.73
569,26.81
588,25.4
569,27.34
569,27.25
569,27.6
569,27.59
569,27.08
569,27.07
569,27.16
569,27.07
588,23.38
569,27.59
588,24.7
588,24.5
588,25.06
588,24.82
588,25.26
588,25.16
588,25.52
588,25.36
569,26.12
569,25.95
569,26.29
569,26.21
569,25.51
569,24.99
569,25.86
569,25.77
588,25.7
588,25.56
569,26.56
569,26.38
588,25.02
553,15.73
553,15.21
588,24.78
553,15.05
588,24.82
553,14.51
588,24.18
553,16.67
588,24.45
588,23.77
553,16.53
588,23.86
569,25.86
569,25.78
569,25.86
569,26.12
569,25.83
569,26.53
569,25.71
569,25.65
569,25.69
569,25.72
588,24.09
588,23.97
588,24.25
553,15.76
554,14.46
554,14.74
589,26.22
554,14.67
589,26.27
554,14.56
589,26.82
554,12.62
589,26.56
589,26.62
554,13.65
589,26.76
569,27.51
569,27.51
554,14.84
569,26.56
569,26.82
569,26.12
569,26.3
569,27.6
569,27.6
569,27.16
569,27.42
588,25.81
589,26.32
588,25.27
588,25.57
554,11.64
628,9.6
628,14.01
628,14.63
628,14.29
628,14.31
741,7.21
628,12.11
628,13.5
742,6.01
628,10.52
628,11.26
741,9.57
741,8.1
741,10.4
628,8.63
628,12.67
633,7.85
628,12.12
632,9.42
628,13
634,0.47
741,10.52
628,11.45
741,10.41
628,12.48
628,10.9
741,9.81
628,11.11
628,11.23
741,10.45
628,12.07
741,10.55
628,11.64
741,7.27
741,8.33
632,9.98
632,10.47
632,10.69
757,32.65
628,10.89
757,32.51
628,11.41
757,32.68
628,11.2
757,32.75
628,10.89
740,6.05
628,11.44
740,7
628,10.87
628,12.76
628,11.6
628,11.49
740,4.66
628,11.39
740,1.68
757,31.38
757,31.07
757,31.93
757,31.65
757,32.51
757,32.31
750,30.73
750,30.83
750,30.63
739,5.38
740,3.92
739,6.42
757,32.58
757,32.3
757,32.51
754,31.93
757,32.13
752,31.31
753,31.55
647,14.02
643,13.07
642,12.53
642,11.49
642,10.74
647,13.94
647,13.94
645,13.33
644,13.07
550,13.19
642,9.3
550,14.04
550,12.53
550,12.75
550,11.73
550,12.13
550,12.23
632,11.53
550,11.69
632,12.19
550,14.17
632,10.85
550,13.47
632,10.97
632,10.69
632,10.7
632,10.35
642,2.62
642,7.6
642,5.51
629,13.15
629,12.59
629,14.61
629,13.72
629,14.43
629,14.79
629,13.75
629,13.93
630,13.33
631,12.64
630,12.94
629,11.31
628,8.17
628,8.25
628,9.22
629,10.54
629,12.17
629,11.8
690,16.07
690,16.58
690,16.37
625,0.43
573,21.01
573,20.72
573,20.38
573,20.16
574,21.11
574,21.33
574,21.28
574,21.39
574,21.03
574,21.18
683,15.81
685,16.17
686,16.48
687,16.55
683,15.15
683,15.35
683,15.69
585,11.39
585,11.15
585,11.52
585,11.48
574,20.94
586,12.12
586,12.03
735,7.72
735,7.92
625,0.95
574,21.28
586,11.87
574,21.08
585,11.79
736,6.83
574,21.01
586,11.96
574,20.94
586,12.12
736,7.12
574,22.71
574,22.46
574,21.94
574,21.35
736,5.58
574,22.62
586,12.08
586,12.2
586,11.68
586,11.88
736,4.89
586,12.36
586,10.78
736,4.9
586,11.35
737,6.14
586,11.56
586,11.03
736,5.92
586,11.15
581,29.99
581,30.08
581,30.19
581,30.03
581,30.06
581,28.8
581,29.88
581,29.65
581,29.47
581,29.11
586,11.55
586,11.55
586,11.07
726,30.19
586,11.51
738,7.73
586,11.39
586,11.15
738,16.95
738,15.82
738,12.25
738,10.54
738,19.95
586,10.38
738,19.47
738,19.25
586,7.67
738,18.09
726,30.02
726,29.9
726,29.8
726,30.1
726,29.92
726,29.95
726,29.68
726,29.69
704,15.63
704,16.03
704,16.34
704,17.28
704,17.75
704,17.86
704,16.78
704,16.94
704,16.83
704,17.08
625,1.91
625,0.28
697,15.77
697,15.94
697,14.7
697,14.58
697,14.56
697,14.65
697,16.2
697,15.56
697,14.81
697,14.33
697,16.47
693,16.09
573,16.11
697,16.61
697,16.64
697,16.59
697,16.19
693,15.92
694,15.6
697,15.98
697,16.51
690,15.55
690,16.02
573,14.75
573,15.46
573,16.02
573,15.44
573,15.01
573,14.68
573,14.64
573,19.8
573,18.74
573,16.61
690,15.29
690,15.37
690,15.33
690,15.39
690,16.26
690,15.91
690,15.55
690,15.29
561,26.08
561,25.67
561,25.1
625,30.58
561,25.24
628,30.44
561,27.43
624,30.58
561,27.43
625,30.58
561,27.33
623,30.29
561,26.64
623,30.43
623,30.14
623,30.15
623,30.34
623,30.2
594,24.71
594,25.45
594,27.35
740,29.95
594,28.75
740,29.83
594,25.72
594,26.37
594,29.03
740,29.67
594,30
740,29.42
594,28.54
740,29.95
594,29.42
740,29.88
740,29.37
740,29.24
740,29.2
740,29.32
561,24.56
561,23.56
561,24.09
561,24.1
561,24.32
628,29.15
561,24.32
561,25.29
628,30.04
561,24.88
628,29.8
561,24.71
628,30.32
561,24.2
628,30.23
628,30.37
628,30.46
578,29.3
628,30.49
578,29.1
561,24.45
628,30.39
597,30.73
597,30.82
628,30.53
597,30.66
578,29.65
597,30.59
578,29.53
597,30.83
578,29.64
597,30.67
578,29.44
597,30.75
578,29.11
597,31.24
578,29.19
578,29.45
597,30.72
578,29.59
597,30.84
561,24.32
589,16.21
589,16.46
589,15.64
589,15.82
589,16.48
589,16.69
589,16.12
589,16.31
589,17.11
589,17.47
561,27.19
623,30.4
561,27.3
561,27.19
623,30.59
561,27.65
623,30.4
623,30.6
561,26.86
623,30.68
561,26.97
623,30.42
561,27.08
623,30.45
619,30.23
620,30.36
619,29.91
589,17.82
591,18.87
704,17.82
592,19.93
704,17.58
589,17.79
704,17.35
590,18.03
704,17.03
594,22.6
594,23.48
594,20.85
594,21.81
708,17.54
708,17.45
594,24.19
561,27.76
705,17.31
561,28
706,17.25
561,27.55
706,17.17
708,17.39
586,5.84
562,28.26
562,28.06
586,6.68
562,27.36
738,19.06
562,27.32
738,18.71
586,7.41
562,27.56
632,25.34
738,18.79
562,27.97
632,25.8
562,28.86
632,25.46
740,19.88
562,28.75
632,25.39
739,19.49
562,28.6
632,26.63
739,19.32
562,28.24
632,26.01
738,19.04
632,25.38
632,25.56
740,21.7
632,25.05
740,20.33
632,25.23
740,19.84
572,29.68
579,25.82
572,11.72
579,26.1
572,20.97
579,26.99
726,30.2
579,29.43
726,30.2
579,26.81
579,25.64
730,29.79
732,29.79
728,30.06
729,30.04
579,27.99
732,29.2
579,28.53
732,29.14
572,21.39
579,29.29
732,29.51
572,22.23
732,29.31
740,23.39
740,23.26
740,22.81
740,21.94
740,24.59
740,24.59
740,24.02
740,23.54
740,25.31
740,25.17
581,29.51
583,13.79
581,30.12
583,14.47
581,31.01
580,31.92
583,12.5
583,15.32
732,28.97
585,15.52
732,29.04
581,28.77
583,15.26
581,28.91
583,15.54
732,29.15
589,15.85
732,28.98
732,29.01
586,15.46
732,28.97
586,15.72
732,28.97
580,32.12
732,28.91
579,31.75
732,28.79
732,28.67
587,0.48
562,25.39
742,25.71
562,25.77
562,26.06
562,26.44
561,24.42
629,27.1
742,26.4
561,24.72
629,26.9
742,26.38
562,24.75
629,27.7
742,26.25
562,25.01
629,27.42
742,25.82
628,27.88
742,26.98
629,27.84
742,26.96
561,24.45
628,28.17
742,26.85
579,30.41
561,24.56
628,27.93
742,26.71
628,28.82
628,28.3
742,27.12
579,29.85
579,29.85
578,29.67
578,29.53
579,30.16
735,28.26
579,30.01
737,28.01
579,29.85
734,28.29
579,29.76
734,28.18
737,28.95
737,27.7
737,27.81
737,27.97
578,29.36
737,27.62
737,27.54
562,29.45
562,29.7
562,29.5
562,27.94
629,24.91
562,28.08
562,28.27
629,24.87
562,28.99
629,24.87
629,25.29
562,26.63
629,25
562,26.97
629,25.79
562,27.47
629,25.42
629,26.44
629,26.12
629,26.81
579,31.17
579,31.13
737,27.35
579,31.3
579,31.41
579,29.61
737,28.22
579,30.24
737,28.13
579,30.52
737,27.82
579,30.84
737,28.46
738,29.13
738,29.59
737,28.66
738,28.77
579,31.2
579,31
740,29.93
619,30.06
619,30.01
619,30.06
619,29.91
619,29.87
619,30.43
619,30.4
619,30.28
619,30.62
619,30.43
619,30.15
619,30.28
619,30.61
619,30.13
619,30.17
619,30.28
619,30.18
619,30.18
619,30.16
619,30.13
620,32.46
620,32.01
620,32.72
620,31.15
739,12.62
619,31.56
739,12.57
620,31.8
740,12.67
620,31.55
739,12.7
619,30.58
739,12.76
619,30.79
739,12.52
619,31.22
739,12.82
740,12.6
740,12.51
740,12.53
591,20.26
592,20.2
592,20.26
592,20.41
592,20.76
592,21.11
592,21.72
592,22.13
739,15.71
739,16.16
739,14.8
739,15.26
591,20.59
739,16.62
591,20.59
739,17
739,13.81
739,14.22
739,13.13
739,13.35
749,22.83
749,22.62
749,22.1
749,21.69
749,22.51
749,22.32
749,21.42
749,21.54
749,21.76
749,22.08
749,23.16
749,23.24
750,23.3
750,23.08
749,22.47
749,23.07
619,29.72
619,29.61
619,29.82
619,29.58
619,29.89
750,22.47
620,29.89
750,22
619,29.66
750,21.77
619,29.79
750,21.17
620,29.93
622,29.87
750,19.26
750,18.94
750,18.54
750,18.3
750,20.43
750,20.09
750,19.72
619,30.13
619,30.26
619,30.3
619,30.06
750,17.86
619,30.06
750,17.47
619,30.13
750,17.13
619,30.16
619,29.82
619,30.2
619,29.99
750,15.51
750,15.54
750,15.53
750,15.58
750,16.85
750,16.37
750,15.96
750,15.78
619,30.58
619,30.71
619,30.47
750,15.74
619,30.34
750,15.58
619,30.55
619,30.34
619,30.53
619,30.45
619,30.44
619,30.53
567,25.49
567,25.56
566,25.58
567,25.65
592,25.51
565,25.68
592,25.77
566,25.65
592,26.18
565,25.56
565,25.64
565,25.44
565,25.56
592,24.19
592,24.3
592,24.27
592,24.36
549,24.35
592,24.62
549,24.4
592,24.75
549,24.21
592,25.02
549,24.28
549,24.34
549,23.88
549,23.93
549,23.99
549,24.32
549,24.46
567,25.92
567,25.88
567,25.78
567,25.71
567,25.76
567,25.61
567,25.74
567,25.68
567,25.64
567,25.6
549,24.8
549,24.69
549,24.24
549,24.1
549,24.23
549,24.13
549,24.16
549,24.48
549,24.5
549,24.84
565,26.7
565,26.37
565,26.82
565,26.85
565,26.86
565,26.98
565,26.71
565,26.8
565,26.66
565,26.62
549,26.81
549,26.86
549,26.56
549,26.39
